code_commune;zone_densite
01001;rural
01002;rural
01004;urbain
01005;rural
01006;rural
01007;rural
01008;urbain
01009;rural
01010;rural
01011;rural
01012;rural
01013;rural
01014;urbain
01015;rural
01016;rural
01017;rural
01019;rural
01021;rural
01022;rural
01023;rural
01024;rural
01025;rural
01026;rural
01027;rural
01028;rural
01029;rural
01030;urbain
01031;urbain
01032;rural
01033;urbain
01034;urbain
01035;rural
01036;rural
01037;rural
01038;rural
01040;rural
01041;urbain
01042;rural
01043;urbain
01044;rural
01045;rural
01046;rural
01047;rural
01049;urbain
01050;rural
01051;rural
01052;rural
01053;urbain
01054;rural
01056;rural
01057;rural
01058;rural
01060;rural
01061;rural
01062;urbain
01063;urbain
01064;rural
01065;rural
01066;rural
01067;rural
01068;rural
01069;rural
01071;urbain
01072;rural
01073;rural
01074;rural
01075;rural
01076;rural
01077;rural
01078;urbain
01079;rural
01080;rural
01081;rural
01082;rural
01083;rural
01084;rural
01085;rural
01087;rural
01088;rural
01089;rural
01090;rural
01092;rural
01093;rural
01094;rural
01095;rural
01096;rural
01098;rural
01099;rural
01100;rural
01101;rural
01102;rural
01103;urbain
01104;rural
01105;rural
01106;rural
01107;rural
01108;rural
01109;rural
01110;rural
01111;rural
01112;rural
01113;rural
01114;rural
01115;rural
01116;rural
01117;rural
01118;rural
01121;rural
01123;rural
01124;rural
01125;rural
01127;rural
01128;rural
01129;rural
01130;rural
01133;rural
01134;rural
01135;urbain
01136;rural
01138;rural
01139;rural
01140;rural
01141;rural
01142;urbain
01143;urbain
01145;rural
01146;rural
01147;rural
01148;rural
01149;rural
01150;rural
01151;rural
01152;rural
01153;urbain
01155;rural
01156;rural
01157;urbain
01158;rural
01159;rural
01160;urbain
01162;rural
01163;rural
01165;rural
01166;urbain
01167;rural
01169;urbain
01170;urbain
01171;urbain
01173;urbain
01174;rural
01175;rural
01177;rural
01179;rural
01180;rural
01181;rural
01183;urbain
01184;rural
01185;rural
01187;rural
01188;rural
01189;rural
01190;rural
01191;rural
01192;rural
01193;rural
01194;urbain
01195;rural
01196;rural
01197;rural
01198;rural
01199;rural
01200;rural
01202;urbain
01203;rural
01204;rural
01206;rural
01207;rural
01208;rural
01209;rural
01210;rural
01211;rural
01212;rural
01213;rural
01214;rural
01215;rural
01216;rural
01219;rural
01224;urbain
01225;rural
01227;rural
01228;rural
01229;rural
01230;rural
01231;rural
01232;rural
01233;rural
01234;rural
01235;rural
01236;rural
01237;rural
01238;urbain
01239;rural
01240;rural
01241;rural
01242;rural
01243;rural
01244;urbain
01245;rural
01246;rural
01247;rural
01248;rural
01249;urbain
01250;urbain
01252;rural
01254;rural
01255;rural
01257;rural
01258;rural
01259;rural
01260;rural
01261;rural
01262;urbain
01263;urbain
01264;rural
01265;urbain
01266;rural
01267;rural
01268;rural
01269;rural
01272;rural
01273;rural
01274;rural
01275;urbain
01276;rural
01277;rural
01279;rural
01280;rural
01281;urbain
01282;rural
01283;urbain
01284;rural
01285;urbain
01286;rural
01288;rural
01289;urbain
01290;rural
01291;rural
01293;rural
01294;rural
01295;rural
01296;rural
01297;rural
01298;rural
01299;rural
01301;rural
01302;rural
01303;rural
01304;rural
01305;rural
01306;rural
01307;urbain
01308;rural
01309;rural
01310;rural
01311;rural
01313;urbain
01314;rural
01317;rural
01318;rural
01319;rural
01320;rural
01321;rural
01322;urbain
01323;rural
01325;rural
01328;rural
01329;rural
01331;rural
01332;rural
01333;rural
01334;rural
01335;rural
01336;rural
01337;rural
01338;rural
01339;urbain
01342;rural
01343;rural
01344;urbain
01345;urbain
01346;rural
01347;urbain
01348;rural
01349;rural
01350;rural
01351;rural
01352;rural
01353;urbain
01354;urbain
01355;rural
01356;rural
01357;rural
01358;rural
01359;rural
01360;urbain
01361;rural
01362;rural
01363;rural
01364;rural
01365;rural
01366;rural
01367;rural
01368;rural
01369;urbain
01370;urbain
01371;rural
01372;rural
01373;rural
01374;rural
01375;rural
01376;urbain
01378;rural
01379;rural
01380;rural
01381;rural
01382;rural
01383;rural
01384;rural
01385;rural
01386;urbain
01387;rural
01388;rural
01389;rural
01390;rural
01391;rural
01392;rural
01393;rural
01396;rural
01397;urbain
01398;rural
01399;urbain
01400;rural
01401;urbain
01402;rural
01403;rural
01404;rural
01405;rural
01406;rural
01407;rural
01408;rural
01410;rural
01411;rural
01412;rural
01415;rural
01416;rural
01418;rural
01419;urbain
01420;rural
01421;rural
01422;rural
01423;urbain
01424;rural
01425;rural
01426;rural
01427;urbain
01428;rural
01429;rural
01430;rural
01431;urbain
01432;rural
01433;rural
01434;rural
01435;urbain
01436;urbain
01437;rural
01439;rural
01441;rural
01443;rural
01444;rural
01445;rural
01446;rural
01447;rural
01448;rural
01449;rural
01450;urbain
01451;urbain
01452;rural
01453;rural
01454;rural
01456;rural
01457;rural
02001;urbain
02002;rural
02003;rural
02004;rural
02005;rural
02006;rural
02007;rural
02008;rural
02009;rural
02010;rural
02011;rural
02012;rural
02013;rural
02014;rural
02015;rural
02016;rural
02017;rural
02018;rural
02019;rural
02020;rural
02021;rural
02022;rural
02023;rural
02024;rural
02025;rural
02027;rural
02028;rural
02029;rural
02030;rural
02031;rural
02032;rural
02033;rural
02034;rural
02035;rural
02036;rural
02037;rural
02038;rural
02039;rural
02040;rural
02041;rural
02042;rural
02043;rural
02044;rural
02046;rural
02047;rural
02048;rural
02049;rural
02050;rural
02051;rural
02052;rural
02053;rural
02054;rural
02055;rural
02056;rural
